numero,type,soustype,adresse,code_postal,ville,arrondissement,conseilquartier,datedecl,anneedecl,moisdecl,prefixe,intervenant,id_dmr,geo_shape,geo_point_2d,mois_annee_decla,latitude,longitude,lat_rad,lon_rad,cluster
16447,Voirie et espace public,"Trottoirs : Affaissement, trou, bosse, pavé arraché","90 Rue de la Victoire, 75009 PARIS",75009,Paris 09,9,OPERA - CHAUSSEE D'ANTIN,2024-03-06,2024,3,IOS application,DVD,A2024C016447,"{""coordinates"": [2.331057787576589, 48.8750648491149], ""type"": ""Point""}","48.8750648491149, 2.331057787576589",2024-03,48.8750648491149,2.331057787576589,0.8530308037428006,0.040684633447466055,1314
19252,Voirie et espace public,"Trottoirs : Affaissement, trou, bosse, pavé arraché","5 Rue Boudreau, 75009 PARIS",75009,Paris 09,9,OPERA - CHAUSSEE D'ANTIN,2024-05-07,2024,5,Android,DVD,G2024E019252,"{""coordinates"": [2.32935762350375, 48.8721504200357], ""type"": ""Point""}","48.8721504200357, 2.32935762350375",2024-05,48.8721504200357,2.32935762350375,0.8529799373595527,0.04065495998657089,1264
68704,Voirie et espace public,"Trottoirs : Affaissement, trou, bosse, pavé arraché","29 avenue de Messine, 75008 PARIS",75008,Paris 08,8,MONCEAU,2024-01-26,2024,1,Android,DVD,G2024A068704,"{""coordinates"": [2.3104817866338965, 48.87728118793881], ""type"": ""Point""}","48.87728118793881, 2.3104817866338965",2024-01,48.87728118793881,2.3104817866338965,0.8530694861526177,0.04032551448412261,1051
76550,Voirie et espace public,"Trottoirs : Affaissement, trou, bosse, pavé arraché","2 Rue de Franqueville, 75116 PARIS",75116,Paris 16,16,MUETTE NORD,2024-02-27,2024,2,IOS application,DVD,A2024B076550,"{""coordinates"": [2.273127079400989, 48.860336302661565], ""type"": ""Point""}","48.860336302661565, 2.273127079400989",2024-02,48.860336302661565,2.273127079400989,0.8527737421131569,0.039673551851789834,0
81868,Voirie et espace public,"Trottoirs : Affaissement, trou, bosse, pavé arraché","33 Rue Benjamin Franklin, 75116 PARIS",75116,Paris 16,16,MUETTE NORD,2024-03-23,2024,3,Android,DVD,G2024C081868,"{""coordinates"": [2.286279201678366, 48.861213682799026], ""type"": ""Point""}","48.861213682799026, 2.286279201678366",2024-03,48.861213682799026,2.286279201678366,0.8527890552853472,0.03990309968915495,1173
61424,Voirie et espace public,"Trottoirs : Affaissement, trou, bosse, pavé arraché","4 avenue Percier, 75008 PARIS",75008,Paris 08,8,ELYSEES - MADELEINE,2024-02-21,2024,2,Android,DVD,G2024B061424,"{""coordinates"": [2.3146429066442864, 48.873931884256706], ""type"": ""Point""}","48.873931884256706, 2.3146429066442864",2024-02,48.873931884256706,2.3146429066442864,0.8530110297757157,0.04039813972887453,1
43413,Voirie et espace public,"Trottoirs : Affaissement, trou, bosse, pavé arraché","6 Rue Emile Reynaud, 75019 PARIS",75019,Paris 19,19,ROSA PARKS - MACDONALD,2024-11-09,2024,11,Android,DVD,G2024K043413,"{""coordinates"": [2.387479543030323, 48.90119933997021], ""type"": ""Point""}","48.90119933997021, 2.387479543030323",2024-11,48.90119933997021,2.387479543030323,0.8534869366565582,0.04166937884988877,2
30246,Voirie et espace public,"Trottoirs : Affaissement, trou, bosse, pavé arraché","11 Place de Narvik, 75008 PARIS",75008,Paris 08,8,MONCEAU,2024-11-06,2024,11,Android,DVD,G2024K030246,"{""coordinates"": [2.31287717770372, 48.87644958378689], ""type"": ""Point""}","48.87644958378689, 2.31287717770372",2024-11,48.87644958378689,2.31287717770372,0.8530549719220933,0.040367321945163896,3
82329,Voirie et espace public,"Trottoirs : Affaissement, trou, bosse, pavé arraché","9bV place de la Concorde, 75008 PARIS",75008,Paris 08,8,ELYSEES - MADELEINE,2024-05-29,2024,5,Page DMR Paris.fr,DVD,S2024E082329,"{""coordinates"": [2.321922779489872, 48.8654174793995], ""type"": ""Point""}","48.8654174793995, 2.321922779489872",2024-05,48.8654174793995,2.321922779489872,0.8528624253771097,0.040525197479156526,4
5225,Voirie et espace public,"Trottoirs : Affaissement, trou, bosse, pavé arraché","25 Rue Murillo, 75008 PARIS",75008,Paris 08,8,MONCEAU,2024-01-03,2024,1,Android,DVD,G2024A005225,"{""coordinates"": [2.30647110938613, 48.87771606380769], ""type"": ""Point""}","48.87771606380769, 2.30647110938613",2024-01,48.87771606380769,2.30647110938613,0.853077076168367,0.04025551496091426,5
